date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,logit_prob,set,market_prob,EV,edge,profit,ev_bucket
2014-11-13,2015,Dallas,vs,Philadelphia,123,70,-1700.0,1000.0,210.5,-13.5,103.5,1,0.9444444444444444,0.0909090909090909,16975,0.918988202559706,train,0.9444444444444444,-0.026953667877958318,-0.025456241884738384,0.058823529411764705,8
2014-11-13,2015,Memphis,vs,Sacramento,111,110,-235.0,195.0,188.5,-5.0,96.0,1,0.7014925373134329,0.3389830508474576,16976,0.6737011987253401,train,0.7014925373134329,-0.03961744011494073,-0.027791338588092795,0.425531914893617,2
2014-11-13,2015,Chicago,@,Toronto,100,93,120.0,-140.0,196.5,2.5,97.5,1,0.4545454545454545,0.5833333333333334,16977,0.4332968040823081,train,0.45454545454545453,-0.04674703101892219,-0.021248650463146446,1.2,1
2014-11-14,2015,Miami,@,Atlanta,103,114,174.0,-204.0,193.0,5.0,96.0,0,0.364963503649635,0.6710526315789473,16978,0.3508942403985791,train,0.36496350364963503,-0.03854978130789333,-0.014069263251055952,-1.0,3
2014-11-14,2015,Cleveland,@,Boston,122,121,-249.0,209.0,208.5,-6.0,104.5,1,0.7134670487106017,0.3236245954692556,16979,0.6862736265284511,train,0.7134670487106017,-0.03811447526735162,-0.027193422182150595,0.40160642570281124,3
2014-11-14,2015,Phoenix,vs,Charlotte,95,103,-265.0,220.0,200.0,-6.5,100.0,0,0.726027397260274,0.3125,16980,0.6986838462877066,train,0.726027397260274,-0.03766187209429084,-0.027343550972567354,-1.0,4
2014-11-14,2015,Boston,vs,Cleveland,121,122,209.0,-249.0,208.5,6.0,104.5,0,0.3236245954692556,0.7134670487106017,16981,0.3129908144990166,train,0.32362459546925565,-0.0328583831980388,-0.010633780970239037,-1.0,7
2014-11-14,2015,Indiana,vs,Denver,87,108,-140.0,120.0,201.5,-2.5,101.0,0,0.5833333333333334,0.4545454545454545,16982,0.5623930836542,train,0.5833333333333334,-0.035897570878514196,-0.020940249679133327,-1.0,6
2014-11-14,2015,Oklahoma City,vs,Detroit,89,96,-160.0,135.0,188.5,-3.0,95.5,0,0.6153846153846154,0.425531914893617,16983,0.5920593839992738,train,0.6153846153846154,-0.03790350100118001,-0.023325231385341594,-1.0,3
2014-11-14,2015,Philadelphia,@,Houston,87,88,1400.0,-4000.0,205.5,16.5,103.0,0,0.0666666666666666,0.975609756097561,16984,0.0432457837614737,train,0.06666666666666667,-0.3513132435778945,-0.023420882905192966,-1.0,0
2014-11-14,2015,Denver,@,Indiana,108,87,120.0,-140.0,201.5,2.5,101.0,1,0.4545454545454545,0.5833333333333334,16985,0.4332542254116184,train,0.45454545454545453,-0.04684070409443952,-0.02129122913383613,1.2,1
2014-11-14,2015,San Antonio,@,LA Lakers,93,80,-400.0,325.0,205.0,-8.0,104.5,1,0.8,0.2352941176470588,16986,0.7702202676194655,train,0.8,-0.037224665475668134,-0.02977973238053455,0.25,4
2014-11-14,2015,Atlanta,vs,Miami,114,103,-204.0,174.0,193.0,-5.0,96.0,1,0.6710526315789473,0.364963503649635,16987,0.6461828438460907,train,0.6710526315789473,-0.03706086015092369,-0.02486978773285664,0.49019607843137253,4
2014-11-14,2015,Orlando,vs,Milwaukee,101,85,-145.0,125.0,194.0,-2.5,98.5,1,0.5918367346938775,0.4444444444444444,16988,0.5702928912122708,train,0.5918367346938775,-0.03640166657237004,-0.02154384348160676,0.6896551724137931,5
